repo,path,package,installed_version,fixed_version,vuln_id,severity,cvss,title
defense-factory/ms-user-service,package-lock.json,lodash,4.17.15,4.17.21,CVE-2021-23337,HIGH,7.2,nodejs-lodash: command injection via template
defense-factory/ms-user-service,package-lock.json,lodash,4.17.15,4.18.0,CVE-2026-4800,HIGH,9.8,lodash: lodash: Arbitrary code execution via untrusted input in template imports
defense-factory/ms-user-service,package-lock.json,lodash,4.17.15,>=4.17.19,NSWG-ECO-516,HIGH,,Allocation of Resources Without Limits or Throttling
defense-factory/ms-user-service,package-lock.json,lodash,4.17.15,4.17.21,CVE-2020-28500,MEDIUM,5.3,"nodejs-lodash: ReDoS via the toNumber, trim and trimEnd functions"
defense-factory/ms-user-service,package-lock.json,lodash,4.17.15,4.17.23,CVE-2025-13465,MEDIUM,5.3,lodash: prototype pollution in _.unset and _.omit functions
defense-factory/ms-user-service,package-lock.json,lodash,4.17.15,4.18.0,CVE-2026-2950,MEDIUM,5.3,lodash: Lodash: Prototype pollution allows deletion of built-in prototype properties via array path bypass
defense-factory/ms-user-service,package-lock.json,path-to-regexp,0.1.7,0.1.10,CVE-2024-45296,HIGH,5.3,path-to-regexp: Backtracking regular expressions cause ReDoS
defense-factory/ms-user-service,package-lock.json,path-to-regexp,0.1.7,0.1.12,CVE-2024-52798,HIGH,5.3,path-to-regexp: path-to-regexp Unpatched `path-to-regexp` ReDoS in 0.1.x
defense-factory/ms-user-service,package-lock.json,path-to-regexp,0.1.7,0.1.13,CVE-2026-4867,HIGH,5.3,path-to-regexp: path-to-regexp: Denial of Service via catastrophic backtracking from malformed URL parameters
defense-factory/ms-user-service,package-lock.json,qs,6.7.0,6.7.3,CVE-2022-24999,HIGH,7.5,"express: ""qs"" prototype poisoning causes the hang of the node process"
defense-factory/ms-user-service,package-lock.json,qs,6.7.0,6.14.1,CVE-2025-15284,MEDIUM,7.5,qs: qs: Denial of Service via improper input validation in array parsing
defense-factory/ms-user-service,package-lock.json,qs,6.7.0,6.16.0,CVE-2026-82417,MEDIUM,7.5,qs: qs: Denial of Service via improper validation in stringify function
defense-factory/ms-user-service,package-lock.json,qs,6.7.0,6.14.2,CVE-2026-2391,LOW,7.5,qs: qs's arrayLimit bypass in comma parsing allows denial of service
defense-factory/ms-user-service,package-lock.json,send,0.17.1,0.19.0,CVE-2024-43799,LOW,4.7,send: Code Execution Vulnerability in Send Library
defense-factory/ms-user-service,package-lock.json,serve-static,1.14.1,1.16.0,CVE-2024-43800,LOW,4.7,serve-static: Improper Sanitization in serve-static
defense-factory/ms-payment-service,requirements.txt,PyYAML,5.3.1,5.4,CVE-2020-14343,CRITICAL,9.8,PyYAML: incomplete fix for CVE-2020-1747
defense-factory/ms-payment-service,requirements.txt,cryptography,3.3.2,39.0.1,CVE-2023-0286,HIGH,7.4,openssl: X.400 address type confusion in X.509 GeneralName
defense-factory/ms-payment-service,requirements.txt,cryptography,3.3.2,42.0.0,CVE-2023-50782,HIGH,7.5,python-cryptography: Bleichenbacher timing oracle attack against RSA decryption - incomplete fix for CVE-2020-25659
defense-factory/ms-payment-service,requirements.txt,cryptography,3.3.2,46.0.5,CVE-2026-26007,HIGH,6.5,cryptography: cryptography Subgroup Attack Due to Missing Subgroup Validation for SECT Curves
defense-factory/ms-payment-service,requirements.txt,cryptography,3.3.2,48.0.1,GHSA-537c-gmf6-5ccf,HIGH,7.5,Vulnerable OpenSSL included in cryptography wheels
defense-factory/ms-payment-service,requirements.txt,cryptography,3.3.2,39.0.1,CVE-2023-23931,MEDIUM,6.5,python-cryptography: memory corruption via immutable objects
defense-factory/ms-payment-service,requirements.txt,cryptography,3.3.2,41.0.6,CVE-2023-49083,MEDIUM,7.5,python-cryptography: NULL-dereference when loading PKCS7 certificates
defense-factory/ms-payment-service,requirements.txt,cryptography,3.3.2,42.0.2,CVE-2024-0727,MEDIUM,5.5,openssl: denial of service via null dereference
defense-factory/ms-payment-service,requirements.txt,cryptography,3.3.2,46.0.6,CVE-2026-34073,LOW,5.3,python-cryptography: Cryptography: Security bypass due to improper DNS name constraint validation
defense-factory/ms-payment-service,requirements.txt,cryptography,3.3.2,41.0.0,GHSA-5cpq-8wj7-hf2v,LOW,,Vulnerable OpenSSL included in cryptography wheels
defense-factory/ms-payment-service,requirements.txt,cryptography,3.3.2,41.0.3,GHSA-jm77-qphf-c4w8,LOW,,pyca/cryptography's wheels include vulnerable OpenSSL
defense-factory/ms-payment-service,requirements.txt,cryptography,3.3.2,41.0.4,GHSA-v8gr-m533-ghj9,LOW,,Vulnerable OpenSSL included in cryptography wheels
defense-factory/ms-payment-service,requirements.txt,requests,2.25.1,2.31.0,CVE-2023-32681,MEDIUM,6.1,python-requests: Unintended leak of Proxy-Authorization header
defense-factory/ms-payment-service,requirements.txt,requests,2.25.1,2.32.0,CVE-2024-35195,MEDIUM,5.6,requests: subsequent requests to the same host ignore cert verification
defense-factory/ms-payment-service,requirements.txt,requests,2.25.1,2.32.4,CVE-2024-47081,MEDIUM,5.3,requests: Requests vulnerable to .netrc credentials leak via malicious URLs
defense-factory/ms-payment-service,requirements.txt,requests,2.25.1,2.33.0,CVE-2026-25645,MEDIUM,5.5,requests: Requests: Security bypass due to predictable temporary file creation
defense-factory/ms-payment-service,requirements.txt,urllib3,1.26.4,1.26.5,CVE-2021-33503,HIGH,7.5,python-urllib3: ReDoS in the parsing of authority part of URL
defense-factory/ms-payment-service,requirements.txt,urllib3,1.26.4,1.26.17,CVE-2023-43804,HIGH,8.1,python-urllib3: Cookie request header isn't stripped during cross-origin redirects
defense-factory/ms-payment-service,requirements.txt,urllib3,1.26.4,2.6.0,CVE-2025-66418,HIGH,7.5,urllib3: urllib3: Unbounded decompression chain leads to resource exhaustion
defense-factory/ms-payment-service,requirements.txt,urllib3,1.26.4,2.6.0,CVE-2025-66471,HIGH,7.5,urllib3: urllib3 Streaming API improperly handles highly compressed data
defense-factory/ms-payment-service,requirements.txt,urllib3,1.26.4,2.6.3,CVE-2026-21441,HIGH,7.5,urllib3: urllib3 vulnerable to decompression-bomb safeguard bypass when following HTTP redirects (streaming API)
defense-factory/ms-payment-service,requirements.txt,urllib3,1.26.4,2.7.0,CVE-2026-44431,HIGH,5.3,urllib3: urllib3: Information disclosure via cross-origin redirects forwarding sensitive headers
defense-factory/ms-payment-service,requirements.txt,urllib3,1.26.4,1.26.18,CVE-2023-45803,MEDIUM,4.2,urllib3: Request body not stripped after redirect from 303 status changes request method to GET
defense-factory/ms-payment-service,requirements.txt,urllib3,1.26.4,1.26.19,CVE-2024-37891,MEDIUM,6.5,urllib3: proxy-authorization request header is not stripped during cross-origin redirects
defense-factory/ms-payment-service,requirements.txt,urllib3,1.26.4,2.5.0,CVE-2025-50181,MEDIUM,6.1,urllib3: urllib3 redirects are not disabled when retries are disabled on PoolManager instantiation
defense-factory/ms-inventory-service,go.mod,github.com/dgrijalva/jwt-go,v3.2.0+incompatible,,CVE-2020-26160,HIGH,7.5,jwt-go: access restriction bypass vulnerability
defense-factory/ms-inventory-service,go.mod,github.com/go-chi/chi/v5,v5.0.8,5.2.2,GHSA-vrw8-fxc6-2r93,MEDIUM,,chi Allows Host Header Injection which Leads to Open Redirect in RedirectSlashes
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.55.0,CVE-2026-56854,CRITICAL,9.1,golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Authentication bypass due to unenforced source-address restrictions
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.0.0-20211202192323-5770296d904e,CVE-2021-43565,HIGH,7.5,golang.org/x/crypto: empty plaintext packet causes panic
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.0.0-20220314234659-1baeb1ce4c0b,CVE-2022-27191,HIGH,7.5,golang: crash in a golang.org/x/crypto/ssh server
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.31.0,CVE-2024-45337,HIGH,8.2,golang.org/x/crypto/ssh: Misuse of ServerConfig.PublicKeyCallback may cause authorization bypass in golang.org/x/crypto
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.35.0,CVE-2025-22869,HIGH,7.5,golang.org/x/crypto/ssh: Denial of Service in the Key Exchange of golang.org/x/crypto/ssh
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.43.0,CVE-2025-47913,HIGH,7.5,golang.org/x/crypto/ssh/agent: golang.org/x/crypto/ssh/agent: SSH client panic due to unexpected SSH_AGENT_SUCCESS
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.52.0,CVE-2026-39828,HIGH,8.8,golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Unauthorized command execution via discarded SSH permissions
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.52.0,CVE-2026-39829,HIGH,7.5,golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via crafted public key with excessive parameters
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.52.0,CVE-2026-39830,HIGH,7.5,golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via resource leak from unsolicited SSH responses
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.52.0,CVE-2026-39831,HIGH,8.1,golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Security key bypass due to missing user presence check
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.52.0,CVE-2026-39832,HIGH,8.7,golang.org/x/crypto/ssh/agent: golang.org/x/crypto/ssh/agent: Security bypass due to improper handling of key restrictions
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.52.0,CVE-2026-39835,HIGH,7.5,golang.org/x/crypto/ssh: golang: golang.org/x/crypto/ssh: Denial of Service via crafted SSH certificate
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.52.0,CVE-2026-42508,HIGH,7.4,golang.org/x/crypto/ssh/knownhosts: golang: golang.org/x/crypto/ssh/knownhosts: Revocation bypass via unchecked SignatureKey
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.52.0,CVE-2026-46595,HIGH,7.1,golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Authorization bypass due to skipped source-address validation
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.52.0,CVE-2026-46597,HIGH,7.5,golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via crafted AES-GCM packet decoder inputs
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.17.0,CVE-2023-48795,MEDIUM,5.9,ssh: Prefix truncation attack on Binary Packet Protocol (BPP)
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.45.0,CVE-2025-47914,MEDIUM,5.3,golang.org/x/crypto/ssh/agent: SSH Agent servers: Denial of Service due to malformed messages
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.45.0,CVE-2025-58181,MEDIUM,5.3,golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via unbounded memory consumption in GSSAPI authentication
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.52.0,CVE-2026-39827,MEDIUM,6.5,golang.org/x/crypto/ssh: golang: golang.org/x/crypto/ssh: Denial of Service via repeated rejected channel openings
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.52.0,CVE-2026-39833,MEDIUM,5.5,golang.org/x/crypto/ssh/agent: golang.org/x/crypto/ssh/agent: Security bypass due to unenforced key confirmation
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.52.0,CVE-2026-39834,MEDIUM,6.5,golang.org/x/crypto/ssh: golang: golang.org/x/crypto/ssh: Denial of Service due to integer overflow in SSH channel write
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.52.0,CVE-2026-46598,MEDIUM,5.3,golang.org/x/crypto/ssh/agent: golang: golang.org/x/crypto/ssh/agent: Denial of Service via malformed input
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.56.0,CVE-2026-56855,MEDIUM,5.3,golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via crafted messages
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.56.0,CVE-2026-78662,MEDIUM,5.3,golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via channel request flooding
defense-factory/ms-inventory-service,go.mod,golang.org/x/crypto,v0.0.0-20201216223049-8b5274cf687f,0.0.0-20220525230936-793ad666bf5e,CVE-2022-30636,UNKNOWN,,httpTokenCacheKey uses path.Base to extract the expected HTTP-01 token ...
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.0.0-20190813141303-74dc4d7220e7,CVE-2019-9512,HIGH,7.5,HTTP/2: flood using PING frames results in unbounded memory growth
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.0.0-20210520170846-37e1c6afe023,CVE-2021-33194,HIGH,7.5,golang: x/net/html: infinite loop in ParseFragment
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.0.0-20211209124913-491a49abca63,CVE-2021-44716,HIGH,7.5,golang: net/http: limit growth of header canonicalization cache
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.0.0-20220906165146-f3363e06e74c,CVE-2022-27664,HIGH,7.5,golang: net/http: handle server errors after sending GOAWAY
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.7.0,CVE-2022-41723,HIGH,7.5,golang.org/x/net/http2: avoid quadratic complexity in HPACK decoding
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.17.0,CVE-2023-39325,HIGH,7.5,"golang: net/http, x/net/http2: rapid stream resets can cause excessive work (CVE-2023-44487)"
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.23.0,CVE-2023-45288,HIGH,7.5,"golang: net/http, x/net/http2: unlimited number of CONTINUATION frames causes DoS"
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.33.0,CVE-2024-45338,HIGH,7.5,golang.org/x/net/html: Non-linear parsing of case-insensitive content in golang.org/x/net/html
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.55.0,CVE-2026-25681,HIGH,8.1,golang.org/x/net/html: golang.org/x/net/html: Arbitrary code execution via Cross-Site Scripting
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.55.0,CVE-2026-27136,HIGH,8.1,golang.org/x/net/html: golang: golang.org/x/net/html: Cross-Site Scripting via HTML parsing bypass
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.53.0,CVE-2026-33814,HIGH,7.5,net/http/internal/http2: golang: golang.org/x/net: Go HTTP/2: Denial of Service via malformed SETTINGS_MAX_FRAME_SIZE frame
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.55.0,CVE-2026-39821,HIGH,8.2,golang.org/x/net/idna: golang: net/http: golang.org/x/net/idna: Privilege escalation via incorrect Punycode label processing
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.56.0,CVE-2026-46600,HIGH,7.5,golang.org/x/net/dns/dnsmessage: golang.org/x/net/dns/dnsmessage: Denial of Service via invalid DNS record parsing
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.0.0-20210428140749-89ef3d95e781,CVE-2021-31525,MEDIUM,5.9,golang: net/http: panic in ReadRequest and ReadResponse when reading a very large header
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.4.0,CVE-2022-41717,MEDIUM,5.3,golang: net/http: excessive memory growth in a Go server accepting HTTP/2 requests
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.13.0,CVE-2023-3978,MEDIUM,6.1,golang.org/x/net/html: Cross site scripting
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.36.0,CVE-2025-22870,MEDIUM,4.4,golang.org/x/net/proxy: golang.org/x/net/http/httpproxy: HTTP Proxy bypass using IPv6 Zone IDs in golang.org/x/net
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.38.0,CVE-2025-22872,MEDIUM,6.5,golang.org/x/net/html: Incorrect Neutralization of Input During Web Page Generation in x/net in golang.org/x/net
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.45.0,CVE-2025-47911,MEDIUM,5.3,golang.org/x/net/html: Quadratic parsing complexity in golang.org/x/net/html
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.45.0,CVE-2025-58190,MEDIUM,5.3,golang.org/x/net/html: Infinite parsing loop in golang.org/x/net
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.55.0,CVE-2026-25680,MEDIUM,6.5,golang.org/x/net/html: golang.org/x/net/html: Denial of Service due to excessive HTML parsing
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.55.0,CVE-2026-42502,MEDIUM,6.1,golang.org/x/net/html: golang: golang.org/x/net/html: Cross-Site Scripting via unexpected HTML tree rendering
defense-factory/ms-inventory-service,go.mod,golang.org/x/net,v0.0.0-20190404232315-eb5bcb51f2a3,0.55.0,CVE-2026-42506,MEDIUM,5.4,golang.org/x/net/html: golang.org/x/net/html: Cross-Site Scripting (XSS) via arbitrary HTML parsing
defense-factory/ms-inventory-service,go.mod,golang.org/x/sys,v0.0.0-20191026070338-33540a1f6037,0.0.0-20220412211240-33da011f77ad,CVE-2022-29526,MEDIUM,5.3,golang: syscall: faccessat checks wrong group
defense-factory/ms-inventory-service,go.mod,golang.org/x/sys,v0.0.0-20191026070338-33540a1f6037,0.44.0,CVE-2026-39824,UNKNOWN,,Invoking integer overflow in NewNTUnicodeString in golang.org/x/sys/windows
defense-factory/ms-inventory-service,go.mod,golang.org/x/text,v0.3.0,0.3.3,CVE-2020-14040,HIGH,7.5,golang.org/x/text: possibility to trigger an infinite loop in encoding/unicode could lead to crash
defense-factory/ms-inventory-service,go.mod,golang.org/x/text,v0.3.0,0.3.7,CVE-2021-38561,HIGH,7.5,golang: out-of-bounds read in golang.org/x/text/language leads to DoS
defense-factory/ms-inventory-service,go.mod,golang.org/x/text,v0.3.0,0.3.8,CVE-2022-32149,HIGH,7.5,golang: golang.org/x/text/language: ParseAcceptLanguage takes a long time to parse complex tags
defense-factory/ms-inventory-service,go.mod,golang.org/x/text,v0.3.0,0.39.0,CVE-2026-56852,HIGH,7.5,golang.org/x/text: golang.org/x/text: Denial of Service via invalid UTF-8 input
defense-factory/ms-notification-service,pom.xml,ch.qos.logback:logback-classic,1.2.11,1.2.13,CVE-2023-6378,HIGH,7.5,logback: serialization vulnerability in logback receiver
defense-factory/ms-notification-service,pom.xml,ch.qos.logback:logback-core,1.2.11,1.2.13,CVE-2023-6378,HIGH,7.5,logback: serialization vulnerability in logback receiver
defense-factory/ms-notification-service,pom.xml,ch.qos.logback:logback-core,1.2.11,1.3.15,CVE-2024-12798,MEDIUM,5.5,logback-core: arbitrary code execution via JaninoEventEvaluator
defense-factory/ms-notification-service,pom.xml,ch.qos.logback:logback-core,1.2.11,1.3.16,CVE-2025-11226,MEDIUM,6.4,ch.qos.logback/logback-core: Conditional abitrary code execution in logback-core
defense-factory/ms-notification-service,pom.xml,ch.qos.logback:logback-core,1.2.11,1.3.15,CVE-2024-12801,LOW,3.3,logback-core: SaxEventRecorder vulnerable to Server-Side Request Forgery (SSRF) attacks
defense-factory/ms-notification-service,pom.xml,ch.qos.logback:logback-core,1.2.11,1.5.34,CVE-2026-10532,LOW,,Deserialization of untrusted data vulnerability in QOS.CH Sarl logback ...
defense-factory/ms-notification-service,pom.xml,ch.qos.logback:logback-core,1.2.11,1.5.25,CVE-2026-1225,LOW,5,ch.qos.logback/logback-core: Malicious logback.xml configuration file allows instantiation of arbitrary classes
defense-factory/ms-notification-service,pom.xml,ch.qos.logback:logback-core,1.2.11,1.5.33,CVE-2026-9828,LOW,,Deserialization of untrusted data vulnerability in QOS.CH Sarl logback ...
defense-factory/ms-notification-service,pom.xml,com.fasterxml.jackson.core:jackson-core,2.13.4,2.15.0,CVE-2025-52999,HIGH,7.5,com.fasterxml.jackson.core/jackson-core: jackson-core Potential StackoverflowError
